filename,width,height,class,xmin,ymin,xmax,ymax
kertas-8-_jpg.rf.ebd50040abe12404cb3e939b7ad6f685.jpg,600,600,Organik,179,139,443,380
kaleng-27-_jpg.rf.ecbb12b1b9a57e67688f91c5517015ad.jpg,600,600,Anorganik,96,143,589,516
kertas-46-_jpg.rf.ed4656c34a961fa0c27c414c899f1cd9.jpg,600,600,Organik,134,134,437,521
kaleng-31-_jpg.rf.eb634e0aecc6d22618265923f95f9ba3.jpg,600,600,Anorganik,115,98,517,518
bungkus_makanan-6-_jpg.rf.f053780da1bce1794895ca6fc1f07520.jpg,600,600,Anorganik,170,195,397,455
kaca-39-_jpg.rf.ebe53070d78548ff1b67ca9869d4818e.jpg,600,600,Anorganik,146,164,356,481
kardus-10-_jpg.rf.ecb173cd073cb6a53e801d5c39018fc8.jpg,600,600,Organik,80,17,467,573
daun-12-_jpg.rf.ec642ce5da5cc72c3eacc97921b244a6.jpg,600,600,Organik,67,216,546,380
kaleng-21-_jpg.rf.ec223a144e5a21e56c1046e4adb848ad.jpg,600,600,Anorganik,6,56,423,519
kayu-20-_jpg.rf.eb8268121c013d83c119e0cc7539f0bf.jpg,600,600,Organik,234,124,336,561
kaca-23-_jpg.rf.ed9eb5ebdaa37c3b892e3e3ecb778214.jpg,600,600,Anorganik,134,120,436,519
bungkus_makanan-31-_jpg.rf.ed7f4f3f3f168461d59da79d9e9f125f.jpg,600,600,Anorganik,57,200,426,437
botol_minum-49-_jpg.rf.ea4241305e1a189048321ad78a7141be.jpg,600,600,Anorganik,89,124,489,576
daun-25-_jpg.rf.ef914a44ddff97ef027eed5fc526f1a2.jpg,600,600,Organik,189,126,504,423
baja-33-_jpg.rf.efb1a6df7ceb3ad8ac7b4b0ac1f098dc.jpg,600,600,Anorganik,73,137,427,503
tissue-14-_jpg.rf.eb01179ff98a86f81b847d98e5a0ff30.jpg,600,600,Organik,163,225,458,450
daun-34-_jpg.rf.ed2d19b290bb311ebbc24409fb4c768d.jpg,600,600,Organik,210,115,420,500
kertas-39-_jpg.rf.ec036352000129e6169e30739ee40f9c.jpg,600,600,Organik,82,72,370,423
kaleng-14-_jpg.rf.f0d0eaea9d1fbfb6db8b48d0c4921f09.jpg,600,600,Anorganik,96,74,451,500
kaca-12-_jpg.rf.ed839003992df6fa1f9686f6d6b69dad.jpg,600,600,Anorganik,31,131,526,379
kayu-10-_jpg.rf.ea52e2735e41539f1f8dc01410cdf15a.jpg,600,600,Organik,216,84,464,600
baja-26-_jpg.rf.f110bdbaa3875b99a54622ade288ad60.jpg,600,600,Anorganik,61,174,560,437
tissue-24-_jpg.rf.f1461c2030f391a4a32be42d404a1fdb.jpg,600,600,Organik,144,191,431,449
baja-12-_jpg.rf.ea82de0c2987ad1ff70a778e7168925f.jpg,600,600,Anorganik,76,167,446,594
botol_minum-15-_jpg.rf.f15a267d7f03c127deae7ccee2e53109.jpg,600,600,Anorganik,173,88,503,545
kaca-48-_jpg.rf.f01be7c3a9bb55b453a150ecde16bd38.jpg,600,600,Anorganik,150,131,371,469
kayu-25-_jpg.rf.ef934e33ac3e64fca4ebc2bf4bd968d3.jpg,600,600,Organik,80,113,460,500
kardus-4-_jpg.rf.ebbcc94f89b0f8df6c1a66fd0b7c50ab.jpg,600,600,Organik,160,64,471,586
kaca-23-_jpg.rf.ec8bf851499c7c5d9e79897311d0b191.jpg,600,600,Anorganik,134,120,436,519
baja-21-_jpg.rf.f1aa3fd054662eb5c7c7283423e3051b.jpg,600,600,Anorganik,43,130,546,513
botol_minum-45-_jpg.rf.f23bffd5ca9bb8d1e9683949c7be17b1.jpg,600,600,Anorganik,44,223,596,460
kayu-45-_jpg.rf.f1c83964cb2051ce263c6a29e0e91a18.jpg,600,600,Organik,187,41,414,600
kaca-16-_jpg.rf.f1cc060d198522f4f8e889e94e762ac1.jpg,600,600,Anorganik,105,160,510,423
kertas-5-_jpg.rf.f254a94f557576719a47423a4020370d.jpg,600,600,Organik,234,166,459,410
kaca-45-_jpg.rf.f411b688d5684346aebfb1bd3379c442.jpg,600,600,Anorganik,210,147,528,485
tissue-12-_jpg.rf.f2616d6193c3aff2a72ed582be3c8a59.jpg,600,600,Organik,144,224,481,467
bungkus_makanan-6-_jpg.rf.f2dd3005188fd655afdbc67c4994d23a.jpg,600,600,Anorganik,170,195,397,455
kaleng-44-_jpg.rf.f4d2759eb0dc05f451f506ac2df207c0.jpg,600,600,Anorganik,86,144,529,516
kaleng-4-_jpg.rf.f48b397b17a5846f0d321cfec29b3dfb.jpg,600,600,Anorganik,204,257,477,567
tissue-28-_jpg.rf.f536e628c95a6a45c7be7f67453abb8f.jpg,600,600,Organik,148,260,462,512
baja-10-_jpg.rf.f5503aeaa2c0e54d3f93dac14b87fc93.jpg,600,600,Anorganik,101,124,504,489
kertas-31-_jpg.rf.f6128cee5d8fe8bd5a7e3e6579b546d6.jpg,600,600,Organik,177,116,430,390
bungkus_makanan-9-_jpg.rf.f627857ad71abf97844144dac60cc11c.jpg,600,600,Anorganik,169,167,370,499
kayu-30-_jpg.rf.f5589f407c2eceaeb96b963e8db62782.jpg,600,600,Organik,39,256,554,437
daun-23-_jpg.rf.f575ae74d69bfed334212a32df59638e.jpg,600,600,Organik,86,247,510,486
kaleng-22-_jpg.rf.f701165739802928be0483abfff6ff75.jpg,600,600,Anorganik,61,59,583,569
kaleng-12-_jpg.rf.f758ce8488df1146c72a5481ba735cc3.jpg,600,600,Anorganik,3,32,465,470
bungkus_makanan-31-_jpg.rf.f70335d9d71ecc921e66e0632463dc9b.jpg,600,600,Anorganik,57,200,426,437
kayu-49-_jpg.rf.f7b1a5d3028086a980f954f612631597.jpg,600,600,Organik,207,43,395,552
tissue-5-_jpg.rf.f773aa85207760098a2aed047b4aa396.jpg,600,600,Organik,121,221,377,454
baja-11-_jpg.rf.f748721fffc9263be74b215b029a99ef.jpg,600,600,Anorganik,159,103,506,487
tissue-24-_jpg.rf.f7b3ec665b4c6bc78ef3b84ca0cd8f3a.jpg,600,600,Organik,144,191,431,449
botol_minum-49-_jpg.rf.f790f9e7ce3af6b9727018c54e7483c0.jpg,600,600,Anorganik,89,124,489,576
kertas-6-_jpg.rf.f7dc02215931bc26890a84c54fd834c4.jpg,600,600,Organik,221,164,439,417
kertas-26-_jpg.rf.f832960db8c510f1a70a02d92c4c5d55.jpg,600,600,Organik,140,185,418,462
baja-28-_jpg.rf.f8503508c28efaec065c66293cc2cf0d.jpg,600,600,Anorganik,66,217,454,466
kaleng-40-_jpg.rf.f8384dabeec094c9af2e340c70e072fe.jpg,600,600,Anorganik,39,116,431,501
kertas-10-_jpg.rf.f9a2e1177411f3b8fd8d71e0b4431af4.jpg,600,600,Organik,162,187,448,398
botol_minum-9-_jpg.rf.f8ca587f080327220476f1f653319fed.jpg,600,600,Anorganik,87,170,536,484
kertas-30-_jpg.rf.f89ed91559a98ef1fedb8066b5315e9a.jpg,600,600,Organik,206,107,447,367
kayu-37-_jpg.rf.f86258beb88020eada82976953ca55da.jpg,600,600,Organik,153,60,345,568
